sender_account,receiver_account,transaction_amount,timestamp,is_fraud,tx_id
ACC000920,ACC002306,1286.15,2023-01-01 04:00:02,1,TX00000031
ACC003072,ACC000795,108.56,2023-01-01 04:07:37,0,TX00000032
ACC001821,ACC004239,253.8,2023-01-01 04:16:36,0,TX00000033
ACC002941,ACC003125,67.16,2023-01-01 04:21:37,0,TX00000034
ACC004221,ACC002665,13311.6,2023-01-01 04:24:47,0,TX00000035
ACC000363,ACC000485,160.52,2023-01-01 04:29:05,0,TX00000036
ACC003877,ACC004761,129.19,2023-01-01 04:29:44,0,TX00000037
ACC001718,ACC000811,1236.77,2023-01-01 04:30:25,0,TX00000038
ACC002623,ACC001457,94.31,2023-01-01 04:32:40,0,TX00000039
ACC003407,ACC000360,55.84,2023-01-01 04:36:41,0,TX00000040
ACC000702,ACC004313,10.0,2023-01-01 04:43:03,0,TX00000041
ACC002370,ACC004380,1208.02,2023-01-01 04:55:25,0,TX00000042
ACC004736,ACC004089,6008.87,2023-01-01 04:55:41,0,TX00000043
ACC001857,ACC004115,3774.94,2023-01-01 05:04:54,0,TX00000044
ACC002865,ACC002323,512.04,2023-01-01 05:08:34,0,TX00000045
ACC004644,ACC001034,184.15,2023-01-01 05:13:30,0,TX00000046
ACC004725,ACC001244,455.21,2023-01-01 05:19:36,0,TX00000047
ACC003029,ACC003367,4616.6,2023-01-01 05:22:06,0,TX00000048
ACC004952,ACC001297,455.99,2023-01-01 05:23:31,0,TX00000049
ACC004495,ACC004903,174.98,2023-01-01 05:28:41,0,TX00000050
ACC004681,ACC004345,1243.29,2023-01-01 05:34:21,0,TX00000051
ACC004033,ACC001715,169.62,2023-01-01 05:37:40,1,TX00000052
ACC003742,ACC004742,5661.69,2023-01-01 05:41:27,0,TX00000053
ACC000882,ACC000140,850.55,2023-01-01 05:42:43,0,TX00000054
ACC004544,ACC004418,25.57,2023-01-01 05:46:00,1,TX00000055
ACC001903,ACC002893,5232.16,2023-01-01 05:54:23,0,TX00000056
ACC001373,ACC000095,82.47,2023-01-01 05:55:01,0,TX00000057
ACC004636,ACC004343,193.26,2023-01-01 05:57:13,0,TX00000058
ACC000455,ACC000822,261.16,2023-01-01 06:06:05,0,TX00000059
ACC000815,ACC004799,808.79,2023-01-01 06:06:48,0,TX00000060
ACC002814,ACC001950,307.17,2023-01-01 06:07:44,0,TX00000061
ACC002912,ACC001849,581.46,2023-01-01 06:13:29,0,TX00000062
ACC004991,ACC000547,238.24,2023-01-01 06:14:01,0,TX00000063
ACC000880,ACC001485,42.55,2023-01-01 06:21:52,0,TX00000064
ACC003911,ACC004723,1450.68,2023-01-01 06:21:59,0,TX00000065
ACC002694,ACC004316,18325.51,2023-01-01 06:47:12,0,TX00000066
ACC001629,ACC000886,124.13,2023-01-01 06:48:19,0,TX00000067
ACC004661,ACC001064,1192.29,2023-01-01 06:52:47,0,TX00000068
ACC004250,ACC003445,62.29,2023-01-01 07:13:58,0,TX00000069
ACC004923,ACC003301,316.49,2023-01-01 07:15:30,0,TX00000070
ACC001710,ACC000321,1530.82,2023-01-01 07:25:08,0,TX00000071
ACC001696,ACC002193,4251.5,2023-01-01 07:26:14,0,TX00000072
ACC001843,ACC003851,3300.57,2023-01-01 07:57:18,0,TX00000073
ACC003409,ACC004091,148.05,2023-01-01 07:58:50,0,TX00000074
ACC002356,ACC002331,122.67,2023-01-01 07:59:22,0,TX00000075
ACC004754,ACC001083,21205.06,2023-01-01 08:05:57,0,TX00000076
ACC001417,ACC001217,1348.26,2023-01-01 08:19:20,0,TX00000077
ACC004412,ACC002634,16419.23,2023-01-01 08:20:10,1,TX00000078
ACC001513,ACC001597,231.22,2023-01-01 08:21:32,0,TX00000079
ACC004926,ACC000955,131.87,2023-01-01 08:33:37,0,TX00000080
ACC002272,ACC000968,145.28,2023-01-01 08:53:05,0,TX00000081
ACC001624,ACC003203,110.79,2023-01-01 09:08:56,0,TX00000082
ACC002611,ACC000653,1187.22,2023-01-01 09:24:50,0,TX00000083
ACC003525,ACC002362,76.76,2023-01-01 09:43:35,0,TX00000084
ACC004481,ACC003669,3993.32,2023-01-01 09:45:25,0,TX00000085
ACC002165,ACC001629,557.18,2023-01-01 09:52:21,0,TX00000086
ACC002178,ACC002365,1033.45,2023-01-01 09:53:26,0,TX00000087
ACC002835,ACC002268,1972.75,2023-01-01 09:59:27,0,TX00000088
ACC004078,ACC003632,30902.14,2023-01-01 10:04:04,0,TX00000089
ACC002375,ACC002850,4409.54,2023-01-01 10:08:14,0,TX00000090
ACC001081,ACC001817,15.62,2023-01-01 10:13:46,0,TX00000091
ACC004070,ACC000935,221.22,2023-01-01 10:21:43,0,TX00000092
ACC002412,ACC004522,16324.61,2023-01-01 10:24:11,0,TX00000093
ACC004082,ACC002592,278.01,2023-01-01 10:25:02,0,TX00000094
ACC002572,ACC003368,1123.94,2023-01-01 10:29:29,0,TX00000095
ACC004127,ACC004028,805.94,2023-01-01 10:30:19,1,TX00000096
ACC003250,ACC003216,12.9,2023-01-01 10:32:15,0,TX00000097
ACC003513,ACC004749,12.79,2023-01-01 10:42:16,0,TX00000098
ACC002079,ACC004322,5544.97,2023-01-01 10:52:41,0,TX00000099
ACC000822,ACC000023,1427.3,2023-01-01 11:15:14,0,TX00000100
ACC003109,ACC000685,800.46,2023-01-01 11:17:38,0,TX00000101
ACC001168,ACC002479,143.06,2023-01-01 11:27:03,0,TX00000102
ACC004783,ACC004277,920.33,2023-01-01 11:39:52,0,TX00000103
ACC000729,ACC001155,204.31,2023-01-01 11:41:43,0,TX00000104
ACC003547,ACC004512,740.83,2023-01-01 11:42:19,0,TX00000105
ACC001591,ACC002625,84.39,2023-01-01 11:51:38,0,TX00000106
ACC004040,ACC001215,10184.64,2023-01-01 12:07:22,0,TX00000107
ACC001646,ACC000858,1535.44,2023-01-01 12:11:17,0,TX00000108
ACC001105,ACC003177,233.35,2023-01-01 12:13:31,0,TX00000109
ACC001943,ACC004102,2304.45,2023-01-01 12:13:52,0,TX00000110
ACC002106,ACC003553,36.28,2023-01-01 12:15:43,0,TX00000111
ACC004033,ACC002493,683.11,2023-01-01 12:21:03,1,TX00000112
ACC003904,ACC001534,3132.1,2023-01-01 12:22:50,0,TX00000113
ACC000979,ACC001733,19.51,2023-01-01 12:43:29,0,TX00000114
ACC004870,ACC004317,110.64,2023-01-01 12:52:06,1,TX00000115
ACC004772,ACC002244,99.52,2023-01-01 12:59:39,0,TX00000116
ACC003992,ACC004020,47983.13,2023-01-01 13:00:02,0,TX00000117
ACC004259,ACC003216,168.8,2023-01-01 13:07:58,1,TX00000118
ACC002103,ACC001956,18632.65,2023-01-01 13:09:43,0,TX00000119
ACC001019,ACC003948,1809.27,2023-01-01 13:18:20,0,TX00000120
ACC002952,ACC004769,1332.02,2023-01-01 13:26:01,0,TX00000121
ACC004016,ACC001153,2806.9,2023-01-01 13:33:04,0,TX00000122
ACC001388,ACC002793,237.4,2023-01-01 13:33:47,0,TX00000123
ACC004940,ACC004716,32148.15,2023-01-01 13:34:24,0,TX00000124
ACC002852,ACC003048,1601.19,2023-01-01 13:36:03,0,TX00000125
ACC000706,ACC004192,1124.13,2023-01-01 13:44:16,0,TX00000126
ACC000272,ACC002839,100.77,2023-01-01 13:51:26,0,TX00000127
ACC001960,ACC002357,6031.85,2023-01-01 13:52:55,1,TX00000128
ACC002244,ACC003980,249.45,2023-01-01 14:02:02,0,TX00000129
ACC003853,ACC000283,10.0,2023-01-01 14:23:47,0,TX00000130
ACC001905,ACC000409,721.17,2023-01-01 14:25:36,1,TX00000131
ACC003387,ACC003613,9331.96,2023-01-01 14:30:06,0,TX00000132
ACC004244,ACC002079,2121.71,2023-01-01 14:32:20,0,TX00000133
ACC000847,ACC001756,268.05,2023-01-01 14:36:39,0,TX00000134
ACC003773,ACC003350,1113.18,2023-01-01 14:48:46,0,TX00000135
ACC004547,ACC002999,3865.35,2023-01-01 14:55:02,0,TX00000136
ACC004633,ACC004351,1075.99,2023-01-01 14:55:20,0,TX00000137
ACC004807,ACC000223,80.48,2023-01-01 15:13:24,0,TX00000138
ACC003267,ACC004827,1233.44,2023-01-01 15:19:22,0,TX00000139
ACC003438,ACC002563,223.33,2023-01-01 15:25:22,0,TX00000140
ACC002893,ACC004641,4506.85,2023-01-01 15:27:24,0,TX00000141
ACC004273,ACC004311,61.84,2023-01-01 15:36:51,0,TX00000142
ACC001740,ACC001175,216.48,2023-01-01 15:37:19,0,TX00000143
ACC001247,ACC002519,29.27,2023-01-01 15:37:29,0,TX00000144
ACC004059,ACC004236,1473.93,2023-01-01 15:46:15,0,TX00000145
ACC003160,ACC001703,1955.38,2023-01-01 15:49:18,0,TX00000146
ACC002791,ACC000306,2128.2,2023-01-01 15:50:32,0,TX00000147
ACC003687,ACC002641,10683.43,2023-01-01 15:54:13,0,TX00000148
ACC000909,ACC001700,857.58,2023-01-01 15:55:27,0,TX00000149
ACC004433,ACC002344,1333.89,2023-01-01 15:56:37,0,TX00000150
ACC000247,ACC003084,1496.01,2023-01-01 16:12:25,0,TX00000151
ACC004140,ACC002735,1708.99,2023-01-01 16:14:04,0,TX00000152
ACC004462,ACC002425,1030.92,2023-01-01 16:14:38,0,TX00000153
ACC004780,ACC001521,4679.15,2023-01-01 16:37:28,0,TX00000154
ACC004574,ACC000238,1321.81,2023-01-01 16:38:43,0,TX00000155
ACC001864,ACC001896,1312.87,2023-01-01 16:39:36,0,TX00000156
ACC001446,ACC001559,43.4,2023-01-01 16:43:37,0,TX00000157
ACC000135,ACC001931,235.9,2023-01-01 16:54:44,0,TX00000158
ACC003139,ACC000444,4010.66,2023-01-01 16:55:34,0,TX00000159
ACC000503,ACC004061,1576.21,2023-01-01 16:57:02,0,TX00000160
ACC004819,ACC003350,654.31,2023-01-01 17:01:51,0,TX00000161
ACC002100,ACC004696,139.53,2023-01-01 17:02:47,0,TX00000162
ACC002557,ACC000036,1386.48,2023-01-01 17:07:41,0,TX00000163
ACC002286,ACC001867,2088.96,2023-01-01 17:10:57,0,TX00000164
ACC003488,ACC004449,8038.78,2023-01-01 17:12:31,0,TX00000165
ACC003557,ACC001288,379.14,2023-01-01 17:17:37,0,TX00000166
ACC000936,ACC003403,1470.47,2023-01-01 17:21:08,0,TX00000167
ACC004795,ACC004246,1134.25,2023-01-01 17:26:36,0,TX00000168
ACC002491,ACC002266,1303.22,2023-01-01 17:30:02,0,TX00000169
ACC003788,ACC001274,2415.04,2023-01-01 17:41:46,0,TX00000170
ACC002421,ACC004065,283.55,2023-01-01 17:43:02,0,TX00000171
ACC002347,ACC004630,432.56,2023-01-01 17:45:15,0,TX00000172
ACC003524,ACC004510,4220.24,2023-01-01 17:51:43,0,TX00000173
ACC002271,ACC001002,7137.46,2023-01-01 17:52:18,0,TX00000174
ACC003018,ACC004819,1107.83,2023-01-01 17:59:24,0,TX00000175
ACC004553,ACC002575,13.44,2023-01-01 18:13:22,0,TX00000176
ACC003372,ACC001988,252.15,2023-01-01 18:20:40,0,TX00000177
ACC002160,ACC000180,351.46,2023-01-01 18:21:58,0,TX00000178
ACC003885,ACC003104,14344.77,2023-01-01 18:28:28,0,TX00000179
ACC003810,ACC001802,369.09,2023-01-01 18:29:19,0,TX00000180
ACC003755,ACC004608,196.0,2023-01-01 18:30:54,0,TX00000181
ACC003464,ACC004897,4453.65,2023-01-01 18:32:11,0,TX00000182
ACC001068,ACC003881,7297.16,2023-01-01 18:35:43,1,TX00000183
ACC003147,ACC003111,4237.83,2023-01-01 18:36:03,0,TX00000184
ACC003982,ACC003611,273.59,2023-01-01 18:40:56,0,TX00000185
ACC003471,ACC003753,5625.42,2023-01-01 18:42:21,0,TX00000186
ACC001104,ACC002117,158.26,2023-01-01 18:45:35,0,TX00000187
ACC001993,ACC004449,720.82,2023-01-01 18:51:03,0,TX00000188
ACC004610,ACC000983,209.88,2023-01-01 18:57:57,0,TX00000189
ACC000197,ACC002217,1018.46,2023-01-01 18:58:09,0,TX00000190
ACC000193,ACC004786,187.0,2023-01-01 18:58:35,0,TX00000191
ACC003243,ACC000858,1315.74,2023-01-01 18:58:45,0,TX00000192
ACC003652,ACC002065,100.0,2023-01-01 19:00:00,1,TX00000193
ACC001251,ACC003963,132.32,2023-01-01 19:00:44,0,TX00000194
ACC000805,ACC004831,901.83,2023-01-01 19:10:35,0,TX00000195
ACC000368,ACC001338,1160.84,2023-01-01 19:11:46,0,TX00000196
ACC002833,ACC002409,4543.58,2023-01-01 19:12:33,1,TX00000197
ACC000766,ACC004872,131.42,2023-01-01 19:21:13,0,TX00000198
ACC002801,ACC002274,78.89,2023-01-01 19:25:19,0,TX00000199
ACC004627,ACC004232,1079.27,2023-01-01 19:26:25,0,TX00000200
ACC003853,ACC001327,656.36,2023-01-01 19:38:41,0,TX00000201
ACC003923,ACC004940,2215.33,2023-01-01 19:45:45,0,TX00000202
ACC004129,ACC000674,13.37,2023-01-01 19:47:39,1,TX00000203
ACC003721,ACC003333,750.32,2023-01-01 20:02:42,0,TX00000204
ACC001439,ACC002977,5023.25,2023-01-01 20:03:08,0,TX00000205
ACC000518,ACC003764,1474.45,2023-01-01 20:15:20,0,TX00000206
ACC003947,ACC004111,1828.63,2023-01-01 20:31:36,0,TX00000207
ACC001450,ACC002226,3755.79,2023-01-01 20:36:38,0,TX00000208
ACC004045,ACC002421,1777.36,2023-01-01 20:38:55,0,TX00000209
ACC003490,ACC002566,830.09,2023-01-01 20:51:06,0,TX00000210
ACC002436,ACC000374,154.87,2023-01-01 20:53:01,0,TX00000211
ACC002023,ACC003289,700.43,2023-01-01 20:58:29,1,TX00000212
ACC001338,ACC000126,1239.4,2023-01-01 21:01:46,0,TX00000213
ACC001977,ACC004993,1755.76,2023-01-01 21:05:47,0,TX00000214
ACC001427,ACC003586,210.96,2023-01-01 21:06:55,0,TX00000215
ACC000396,ACC001988,150.45,2023-01-01 21:23:12,0,TX00000216
ACC004379,ACC001744,4232.28,2023-01-01 21:32:06,0,TX00000217
ACC003243,ACC003043,4501.52,2023-01-01 21:52:06,0,TX00000218
ACC004194,ACC002269,23812.44,2023-01-01 22:01:27,0,TX00000219
ACC004552,ACC002014,6138.62,2023-01-01 22:10:59,0,TX00000220
ACC000810,ACC003641,2627.88,2023-01-01 22:21:57,0,TX00000221
ACC000440,ACC003376,1942.98,2023-01-01 22:22:54,0,TX00000222
ACC004819,ACC000297,251.57,2023-01-01 22:23:06,0,TX00000223
ACC000835,ACC002671,148.36,2023-01-01 22:34:58,0,TX00000224
ACC001244,ACC004598,11132.46,2023-01-01 22:37:53,0,TX00000225
ACC000867,ACC000905,96.51,2023-01-01 22:38:29,0,TX00000226
ACC002997,ACC002847,33.63,2023-01-01 22:43:25,0,TX00000227
ACC001478,ACC003786,133.25,2023-01-01 22:47:19,0,TX00000228
ACC000923,ACC003271,1068.4,2023-01-01 22:48:19,0,TX00000229
ACC000690,ACC002862,5037.54,2023-01-01 22:52:41,0,TX00000230
ACC002431,ACC002138,4062.7,2023-01-01 23:10:58,0,TX00000231
ACC001086,ACC001250,1542.22,2023-01-01 23:12:39,0,TX00000232
ACC000990,ACC001411,2960.56,2023-01-01 23:27:24,0,TX00000233
ACC000892,ACC002951,1043.99,2023-01-01 23:38:37,0,TX00000234
ACC002410,ACC002142,15252.21,2023-01-01 23:42:35,0,TX00000235
ACC004063,ACC002497,16212.34,2023-01-01 23:45:54,0,TX00000236
ACC004801,ACC000805,1230.2,2023-01-01 23:59:43,0,TX00000237
ACC000715,ACC001653,33.88,2023-01-02 00:05:40,0,TX00000238
ACC002608,ACC001339,1371.52,2023-01-02 00:06:06,0,TX00000239
ACC001811,ACC000005,151.55,2023-01-02 00:07:46,0,TX00000240
ACC000872,ACC003198,648.47,2023-01-02 00:12:39,0,TX00000241
ACC003580,ACC003949,9748.02,2023-01-02 00:21:45,0,TX00000242
ACC000921,ACC000467,249.07,2023-01-02 00:22:19,0,TX00000243
ACC000766,ACC000811,207.86,2023-01-02 00:24:01,0,TX00000244
ACC002769,ACC002460,3129.8,2023-01-02 00:33:26,0,TX00000245
ACC003607,ACC000937,470.04,2023-01-02 00:47:12,0,TX00000246
ACC001643,ACC002178,4163.32,2023-01-02 01:01:48,0,TX00000247
ACC003347,ACC004247,568.32,2023-01-02 01:06:19,0,TX00000248
ACC003341,ACC000356,915.82,2023-01-02 01:06:20,1,TX00000249
ACC001733,ACC000315,1519.59,2023-01-02 01:10:54,0,TX00000250
ACC003007,ACC002624,936.36,2023-01-02 01:11:36,0,TX00000251
ACC000734,ACC003700,1625.17,2023-01-02 01:28:40,0,TX00000252
ACC001472,ACC004845,282.72,2023-01-02 01:30:29,0,TX00000253
ACC002231,ACC004289,2009.17,2023-01-02 01:41:57,1,TX00000254
ACC003338,ACC002611,16.87,2023-01-02 01:43:03,0,TX00000255
ACC000565,ACC000382,1013.46,2023-01-02 01:55:48,0,TX00000256
ACC001657,ACC001801,1051.6,2023-01-02 02:07:31,0,TX00000257
ACC000305,ACC000896,109.91,2023-01-02 02:09:36,0,TX00000258
ACC001272,ACC002359,7922.74,2023-01-02 02:09:37,0,TX00000259
ACC002379,ACC004745,2028.84,2023-01-02 02:18:36,0,TX00000260
ACC001790,ACC002162,56.74,2023-01-02 02:37:32,0,TX00000261
ACC003732,ACC003807,324.26,2023-01-02 02:44:56,0,TX00000262
ACC001060,ACC004720,934.54,2023-01-02 02:45:27,0,TX00000263
ACC001539,ACC003311,381.3,2023-01-02 02:45:33,0,TX00000264
ACC000072,ACC002605,259.14,2023-01-02 03:07:03,0,TX00000265
ACC001493,ACC001107,1033.69,2023-01-02 03:19:20,0,TX00000266
ACC000590,ACC002348,96.94,2023-01-02 03:37:22,1,TX00000267
ACC000787,ACC000858,41491.73,2023-01-02 04:13:27,0,TX00000268
ACC002626,ACC001466,1118.75,2023-01-02 04:31:21,0,TX00000269
ACC003463,ACC004918,197.74,2023-01-02 04:33:04,0,TX00000270
ACC003367,ACC003562,138.14,2023-01-02 04:38:48,0,TX00000271
ACC001507,ACC003206,1550.27,2023-01-02 04:44:05,0,TX00000272
ACC001967,ACC002702,276.94,2023-01-02 04:48:48,0,TX00000273
ACC001719,ACC000670,3416.42,2023-01-02 04:57:08,0,TX00000274
ACC000609,ACC000693,5844.42,2023-01-02 05:02:03,0,TX00000275
ACC001195,ACC000938,913.16,2023-01-02 05:02:23,0,TX00000276
ACC001410,ACC003885,306.75,2023-01-02 05:07:26,0,TX00000277
ACC001142,ACC001623,235.49,2023-01-02 05:08:02,0,TX00000278
ACC004985,ACC000009,15404.92,2023-01-02 05:13:45,0,TX00000279
ACC001839,ACC003721,4835.25,2023-01-02 05:25:33,0,TX00000280
ACC004210,ACC003029,17477.91,2023-01-02 05:32:19,0,TX00000281
ACC002920,ACC002675,60.68,2023-01-02 05:40:17,0,TX00000282
ACC002153,ACC002903,775.14,2023-01-02 05:40:44,0,TX00000283
ACC003096,ACC004802,78.45,2023-01-02 05:42:46,0,TX00000284
ACC003678,ACC003721,25.65,2023-01-02 05:44:47,0,TX00000285
ACC000734,ACC000817,169.49,2023-01-02 05:54:41,0,TX00000286
ACC003529,ACC001618,304.69,2023-01-02 05:57:11,0,TX00000287
ACC002131,ACC003501,11274.9,2023-01-02 05:58:57,1,TX00000288
ACC000409,ACC002420,183.37,2023-01-02 06:04:11,0,TX00000289
ACC003295,ACC004687,13.52,2023-01-02 06:10:59,0,TX00000290
ACC001698,ACC002449,175.61,2023-01-02 06:13:20,0,TX00000291
ACC000170,ACC001458,252.76,2023-01-02 06:18:08,0,TX00000292
ACC000221,ACC001441,2834.12,2023-01-02 06:24:33,0,TX00000293
ACC000157,ACC004420,766.92,2023-01-02 06:58:45,0,TX00000294
ACC003775,ACC001167,200.0,2023-01-02 07:00:00,1,TX00000295
ACC001010,ACC001801,3845.21,2023-01-02 07:16:46,0,TX00000296
ACC001116,ACC003769,2651.98,2023-01-02 07:27:50,0,TX00000297
ACC004031,ACC004187,81.87,2023-01-02 07:34:13,1,TX00000298
ACC002627,ACC004873,1066.0,2023-01-02 07:35:54,0,TX00000299
ACC001245,ACC004739,939.68,2023-01-02 07:36:00,0,TX00000300
ACC000736,ACC004767,289.02,2023-01-02 07:41:05,0,TX00000301
ACC000338,ACC000594,2352.53,2023-01-02 07:42:57,0,TX00000302
ACC004032,ACC003206,200.24,2023-01-02 07:43:17,0,TX00000303
ACC002472,ACC001687,1168.11,2023-01-02 07:51:22,0,TX00000304
ACC002190,ACC002762,4215.12,2023-01-02 07:59:33,0,TX00000305
ACC003775,ACC002216,300.0,2023-01-02 08:00:00,1,TX00000306
ACC001960,ACC003394,164.72,2023-01-02 08:12:42,1,TX00000307
ACC000522,ACC004474,361.26,2023-01-02 08:14:32,0,TX00000308
ACC001838,ACC004087,834.72,2023-01-02 08:19:35,0,TX00000309
ACC000734,ACC000802,96.59,2023-01-02 08:25:49,0,TX00000310
ACC004472,ACC003314,15125.28,2023-01-02 08:26:08,0,TX00000311
ACC003753,ACC002844,321.8,2023-01-02 08:28:29,1,TX00000312
ACC002760,ACC000723,50000.0,2023-01-02 08:41:27,0,TX00000313
ACC003850,ACC002469,1728.64,2023-01-02 08:49:06,0,TX00000314
ACC000224,ACC001581,31.68,2023-01-02 08:49:09,0,TX00000315
ACC000716,ACC003444,86.58,2023-01-02 08:59:03,0,TX00000316
ACC003407,ACC004807,425.6,2023-01-02 09:07:29,0,TX00000317
ACC004728,ACC004977,1465.63,2023-01-02 09:11:05,0,TX00000318
ACC001777,ACC001238,677.47,2023-01-02 09:12:31,0,TX00000319
ACC003585,ACC001963,27371.06,2023-01-02 09:22:28,1,TX00000320
ACC003412,ACC000595,5075.86,2023-01-02 09:43:42,0,TX00000321
ACC003701,ACC001793,1572.58,2023-01-02 09:49:53,0,TX00000322
ACC003218,ACC002609,1501.19,2023-01-02 10:07:02,0,TX00000323
ACC004268,ACC000748,18619.26,2023-01-02 10:20:33,0,TX00000324
ACC004891,ACC004501,1032.1,2023-01-02 10:20:55,0,TX00000325
ACC004387,ACC003210,7966.46,2023-01-02 10:22:08,0,TX00000326
ACC001490,ACC002973,1544.32,2023-01-02 10:42:39,0,TX00000327
ACC001118,ACC000901,15581.54,2023-01-02 10:43:34,0,TX00000328
ACC004057,ACC004745,239.69,2023-01-02 10:46:52,0,TX00000329
ACC003564,ACC004858,2093.17,2023-01-02 10:59:29,0,TX00000330
ACC004123,ACC002065,100.0,2023-01-02 11:00:00,1,TX00000331
ACC000516,ACC001345,512.45,2023-01-02 11:02:48,0,TX00000332
ACC000088,ACC003510,1002.99,2023-01-02 11:08:25,0,TX00000333
ACC000289,ACC002457,22158.29,2023-01-02 11:19:33,0,TX00000334
ACC000542,ACC003619,7547.55,2023-01-02 11:23:59,0,TX00000335
ACC002334,ACC003854,3625.79,2023-01-02 11:31:23,0,TX00000336
ACC004188,ACC001369,2995.08,2023-01-02 11:56:10,0,TX00000337
ACC003269,ACC000564,1084.04,2023-01-02 12:00:31,0,TX00000338
ACC002748,ACC000518,8646.17,2023-01-02 12:09:39,0,TX00000339
ACC004285,ACC002796,4148.33,2023-01-02 12:11:51,0,TX00000340
ACC000328,ACC000144,5368.98,2023-01-02 12:19:56,0,TX00000341
ACC002720,ACC000974,1050.66,2023-01-02 12:26:25,0,TX00000342
ACC003732,ACC004344,858.51,2023-01-02 12:29:49,0,TX00000343
ACC000652,ACC004342,105.29,2023-01-02 12:32:52,0,TX00000344
ACC001899,ACC000632,1908.53,2023-01-02 12:33:13,0,TX00000345
ACC002495,ACC000119,1577.81,2023-01-02 12:41:56,0,TX00000346
ACC000646,ACC004123,536.92,2023-01-02 12:45:10,0,TX00000347
ACC004344,ACC003827,806.72,2023-01-02 12:47:03,0,TX00000348
ACC000371,ACC000832,1778.42,2023-01-02 12:52:25,0,TX00000349
ACC001000,ACC004102,27.54,2023-01-02 13:01:29,0,TX00000350
ACC001276,ACC004758,405.27,2023-01-02 13:04:32,0,TX00000351
ACC000156,ACC002622,60.04,2023-01-02 13:06:51,0,TX00000352
ACC003045,ACC000279,1483.23,2023-01-02 13:07:20,0,TX00000353
ACC004374,ACC000304,859.83,2023-01-02 13:08:24,0,TX00000354
ACC000829,ACC004491,274.58,2023-01-02 13:13:35,0,TX00000355
ACC002071,ACC004964,522.63,2023-01-02 13:21:27,0,TX00000356
ACC004198,ACC003495,6933.16,2023-01-02 13:37:59,0,TX00000357
ACC001574,ACC004602,32.4,2023-01-02 13:40:28,0,TX00000358
ACC004140,ACC000394,337.53,2023-01-02 13:44:57,0,TX00000359
ACC000604,ACC003587,917.56,2023-01-02 13:45:39,0,TX00000360
ACC000780,ACC001459,10691.76,2023-01-02 14:05:41,0,TX00000361
ACC000752,ACC001079,10277.55,2023-01-02 14:07:09,0,TX00000362
ACC000814,ACC003861,926.02,2023-01-02 14:07:22,0,TX00000363
ACC003246,ACC004824,946.52,2023-01-02 14:16:59,0,TX00000364
ACC001742,ACC003879,7983.53,2023-01-02 14:21:44,0,TX00000365
ACC002748,ACC000140,1871.61,2023-01-02 14:22:05,0,TX00000366
ACC001352,ACC001527,221.22,2023-01-02 14:22:40,0,TX00000367
ACC001733,ACC001837,2754.25,2023-01-02 14:44:31,0,TX00000368
ACC002860,ACC000487,25.86,2023-01-02 15:06:34,0,TX00000369
ACC004704,ACC000118,1605.21,2023-01-02 15:14:23,0,TX00000370
